Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2011/2012,OHC Dynamo (Moscow),30.0,24,0,2,0,579,14,7,1,47,532,91.9,2.18,2,1295:03,77703
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Playoffs,2010/2011,OHC Dynamo (Moscow),30.0,1,0,0,0,12,0,1,0,2,10,83.3,3.22,0,37:15,2235
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2010/2011,OHC Dynamo (Moscow),30.0,24,0,0,0,547,12,7,3,51,496,90.7,2.47,1,1240:13,74413
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Playoffs,2009/2010,HC MVD (Moscow Region),30.0,2,0,0,0,20,0,0,0,3,17,85.0,4.78,0,37:39,2259
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2009/2010,HC MVD (Moscow Region),30.0,14,0,0,0,370,7,4,2,37,333,90.0,2.68,0,827:05,49625
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2008/2009,Vityaz (Moscow Region),30.0,37,0,1,0,1036,7,17,6,110,926,89.4,3.25,1,2033:32,122012
https://en.khl.ru/players/13709/,Semyon Varlamov,Goalie,Regular season,2012/2013,Lokomotiv (Yaroslavl),35.0,16,0,1,4,503,8,4,3,27,476,94.6,1.74,3,928:34,55714
https://en.khl.ru/players/17242/,Andrei A. Vasilevsky,Goalie,Playoffs,2013/2014,Salavat Yulaev (Ufa),88.0,18,0,1,0,572,9,9,0,38,534,93.4,1.99,1,1143:49,68629
https://en.khl.ru/players/17242/,Andrei A. Vasilevsky,Goalie,Regular season,2013/2014,Salavat Yulaev (Ufa),88.0,28,0,1,2,766,14,8,5,59,707,92.3,2.21,3,1601:15,96075
https://en.khl.ru/players/17242/,Andrei A. Vasilevsky,Goalie,Regular season,2012/2013,Salavat Yulaev (Ufa),20.0,8,0,1,0,144,4,1,0,11,133,92.4,2.22,1,297:58,17878
